food_category,n_samples,n_pos,n_neg,accuracy,precision,recall,f1,roc_auc,pr_auc,tp,fp,tn,fn
ds1__platsim_ar_pico_banana_9gb-V__modificate__root__000528.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__platsim_ar_pico_banana_9gb-V__modificate__root__000532.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__platsim_ar_pico_banana_9gb-V__modificate__root__000541.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__platsim_ar_pico_banana_9gb-V__modificate__root__000542.jpg,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,1
ds1__platsim_ar_pico_banana_9gb-V__modificate__root__000551.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__platsim_ar_pico_banana_9gb-V__modificate__root__000879.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__platsim_ar_pico_banana_9gb-V__modificate__root__000884.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__platsim_ar_pico_banana_9gb-V__modificate__root__000890.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__platsim_ar_pico_banana_9gb-V__modificate__root__000892.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__platsim_ar_pico_banana_9gb-V__modificate__root__000895.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__platsim_ar_pico_banana_9gb-V__modificate__root__000906.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__platsim_ar_pico_banana_9gb-V__modificate__root__000912.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__platsim_ar_pico_banana_9gb-V__modificate__root__000916.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__platsim_ar_pico_banana_9gb-V__modificate__root__000810.jpg,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,1
ds1__platsim_ar_pico_banana_9gb-V__modificate__root__000812.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__platsim_ar_pico_banana_9gb-V__modificate__root__000821.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__platsim_ar_pico_banana_9gb-V__modificate__root__000829.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__platsim_ar_pico_banana_9gb-V__modificate__root__000847.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__platsim_ar_pico_banana_9gb-V__modificate__root__000850.jpg,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,1
ds1__platsim_ar_pico_banana_9gb-V__modificate__root__000861.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__platsim_ar_pico_banana_9gb-V__modificate__root__000875.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__platsim_ar_pico_banana_9gb-V__modificate__root__000755.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__platsim_ar_pico_banana_9gb-V__modificate__root__000762.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__platsim_ar_pico_banana_9gb-V__modificate__root__000795.jpg,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,1
ds1__platsim_ar_pico_banana_9gb-V__modificate__root__000797.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__platsim_ar_pico_banana_9gb-V__modificate__root__000798.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__platsim_ar_pico_banana_9gb-V__modificate__root__000803.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__platsim_ar_pico_banana_9gb-V__modificate__root__000804.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__platsim_ar_pico_banana_9gb-V__modificate__root__000808.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__platsim_ar_pico_banana_9gb-V__modificate__root__000712.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__platsim_ar_pico_banana_9gb-V__modificate__root__000722.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__platsim_ar_pico_banana_9gb-V__modificate__root__000725.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__platsim_ar_pico_banana_9gb-V__modificate__root__000738.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__platsim_ar_pico_banana_9gb-V__modificate__root__000740.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__platsim_ar_pico_banana_9gb-V__modificate__root__000744.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__platsim_ar_pico_banana_9gb-V__modificate__root__000747.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__platsim_ar_pico_banana_9gb-V__modificate__root__000752.jpg,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,1
ds1__platsim_ar_pico_banana_9gb-V__modificate__root__001062.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__platsim_ar_pico_banana_9gb-V__modificate__root__001064.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__platsim_ar_pico_banana_9gb-V__modificate__root__001067.jpg,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,1
ds1__platsim_ar_pico_banana_9gb-V__modificate__root__001075.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__platsim_ar_pico_banana_9gb-V__modificate__root__001086.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__platsim_ar_pico_banana_9gb-V__modificate__root__001094.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__platsim_ar_pico_banana_9gb-V__modificate__root__001103.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__platsim_ar_pico_banana_9gb-V__modificate__root__001111.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__platsim_ar_pico_banana_9gb-V__modificate__root__001033.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__platsim_ar_pico_banana_9gb-V__modificate__root__001035.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__platsim_ar_pico_banana_9gb-V__modificate__root__001045.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__platsim_ar_pico_banana_9gb-V__modificate__root__001052.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__platsim_ar_pico_banana_9gb-V__modificate__root__001056.jpg,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,1
ds1__platsim_ar_pico_banana_9gb-V__modificate__root__001058.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__platsim_ar_pico_banana_9gb-V__modificate__root__001059.jpg,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,1
ds1__platsim_ar_pico_banana_9gb-V__modificate__root__001060.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__platsim_ar_pico_banana_9gb-V__modificate__root__000989.jpg,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,1
ds1__platsim_ar_pico_banana_9gb-V__modificate__root__001000.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__platsim_ar_pico_banana_9gb-V__modificate__root__001003.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__platsim_ar_pico_banana_9gb-V__modificate__root__001010.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__platsim_ar_pico_banana_9gb-V__modificate__root__001022.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__platsim_ar_pico_banana_9gb-V__modificate__root__001024.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__platsim_ar_pico_banana_9gb-V__modificate__root__001027.jpg,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,1
ds1__platsim_ar_pico_banana_9gb-V__modificate__root__001032.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__platsim_ar_pico_banana_9gb-V__modificate__root__000926.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__platsim_ar_pico_banana_9gb-V__modificate__root__000955.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__platsim_ar_pico_banana_9gb-V__modificate__root__000957.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__platsim_ar_pico_banana_9gb-V__modificate__root__000960.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__platsim_ar_pico_banana_9gb-V__modificate__root__000977.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__platsim_ar_pico_banana_9gb-V__modificate__root__000984.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__platsim_ar_pico_banana_9gb-V__modificate__root__000985.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__platsim_ar_pico_banana_9gb-V__modificate__root__000986.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__platsim_ar_pico_banana_9gb-V__modificate__root__001275.jpg,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,1
ds1__platsim_ar_pico_banana_9gb-V__modificate__root__001276.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__platsim_ar_pico_banana_9gb-V__modificate__root__001277.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__platsim_ar_pico_banana_9gb-V__modificate__root__001278.jpg,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,1
ds1__platsim_ar_pico_banana_9gb-V__modificate__root__001285.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__platsim_ar_pico_banana_9gb-V__modificate__root__001289.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__platsim_ar_pico_banana_9gb-V__modificate__root__001291.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__platsim_ar_pico_banana_9gb-V__modificate__root__001306.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__platsim_ar_pico_banana_9gb-V__modificate__root__001212.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__platsim_ar_pico_banana_9gb-V__modificate__root__001220.jpg,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,1
ds1__platsim_ar_pico_banana_9gb-V__modificate__root__001221.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__platsim_ar_pico_banana_9gb-V__modificate__root__001226.jpg,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,1
ds1__platsim_ar_pico_banana_9gb-V__modificate__root__001230.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__platsim_ar_pico_banana_9gb-V__modificate__root__001237.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__platsim_ar_pico_banana_9gb-V__modificate__root__001266.jpg,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,1
ds1__platsim_ar_pico_banana_9gb-V__modificate__root__001271.jpg,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,1
ds1__platsim_ar_pico_banana_9gb-V__modificate__root__001177.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__platsim_ar_pico_banana_9gb-V__modificate__root__001179.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__platsim_ar_pico_banana_9gb-V__modificate__root__001181.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__platsim_ar_pico_banana_9gb-V__modificate__root__001189.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__platsim_ar_pico_banana_9gb-V__modificate__root__001199.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__platsim_ar_pico_banana_9gb-V__modificate__root__001200.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__platsim_ar_pico_banana_9gb-V__modificate__root__001206.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__platsim_ar_pico_banana_9gb-V__modificate__root__001207.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__platsim_ar_pico_banana_9gb-V__modificate__root__001113.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
