food_category,n_samples,n_pos,n_neg,accuracy,precision,recall,f1,roc_auc,pr_auc,tp,fp,tn,fn
ds1__modificate__root__001164.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__modificate__root__001165.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__modificate__root__001174.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__modificate__root__001178.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__modificate__root__001180.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__modificate__root__001182.jpg,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,1
ds1__modificate__root__001095.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__modificate__root__001099.jpg,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,1
ds1__modificate__root__001106.jpg,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,1
ds1__modificate__root__001108.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__modificate__root__001110.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__modificate__root__001128.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__modificate__root__001131.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__modificate__root__001142.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__modificate__root__001022.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__modificate__root__001025.jpg,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,1
ds1__modificate__root__001040.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__modificate__root__001051.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__modificate__root__001061.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__modificate__root__001070.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__modificate__root__001087.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__modificate__root__001090.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__modificate__root__000960.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__modificate__root__000971.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__modificate__root__000974.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__modificate__root__000980.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__modificate__root__000981.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__modificate__root__000996.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__modificate__root__001007.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__modificate__root__001014.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__modificate__root__001315.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__modificate__root__001331.jpg,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,1
ds1__modificate__root__001341.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__modificate__root__001342.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__modificate__root__001349.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__modificate__root__001351.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__modificate__root__001360.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__modificate__root__001363.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__modificate__root__001273.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__modificate__root__001275.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__modificate__root__001278.jpg,1,1,0,0.0,0.0,0.0,0.0,,,0,0,0,1
ds1__modificate__root__001282.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__modificate__root__001286.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__modificate__root__001289.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__modificate__root__001294.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__modificate__root__001311.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__modificate__root__001248.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__modificate__root__001252.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
ds1__modificate__root__001254.jpg,1,1,0,1.0,1.0,1.0,1.0,,,1,0,0,0
